seq,contents,reply_contents
11496,"오늘의 말씀을 매일 지인들에게 보내고 있어요
공유하기 누르면 받을때 성경말씀이 바로 안떠서
<복사>해서 전달합니다 
복사하기위해 해당말씀 클릭하면 (예를들어 9/10 요15:8), 화면이동하면서 해당말씀 구절에 정확하게 바로 이동되었는데 
언제부턴가 해당 말씀이 아닌 엉뚱한 본문이 떠요
그래서 다시 홈으로 돌아가서 2차 시도하면 그때는
정확하게 뜹니다
제가 수년째 보내는데 이런 에러가 난거는 몇개월정도 되었어요","<p>안녕하세요 GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해 주셔서 감사합니다.</p><p><br></p><p>성도님, 현재 내부 테스트 시에는 바이블 애플 홈 화면의 오늘의 말씀을 클릭하면, 해당 본문의 장, 절로 이동하는것이 확인 되었습니다.</p><p>앱을 완전히 껏다가 켜신 뒤 다시 시도 해 보시고, 그래도 되지 않으실 경우</p><p>핸드폰 설정>애플리케이션>바이블 애플 (성경 찬송) 앱>저장 공간> 캐시 삭제를 해 보시고 다시 시도 해 보시기 바랍니다.</p><p><br></p><p>항상 성도님께 좋은 성경앱을 제공하기 위해 노력하는 바이블 애플이 되겠습니다. 감사합니다.</p><p><br></p><p>주님 안에서 평안하세요.</p>"
11495,"[바이블 애플]
개역개정 요엘 1장

20. 들짐승도 주를 향하여 헐떡거리오니 시내가 다 말랐고 들의 풀이 불에 탔음이니이다

음원은 “들의 풀이”까지만 녹음 되어 있습니다.","<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해 주셔서 감사드립니다.</p><p><br></p><p>성도님께서 제보해 주신 개역개정 <strong>요엘 1장 20절 음원</strong>을 확인한 결과,</p><p> 본문은 “불에 탔음이니이다”까지 기록되어 있으나, 음원은 “들의 풀이”까지만 재생되는 오류가 있음을 확인하였습니다.</p><p><br></p><p>이 부분은 <strong>녹음 과정에서 일부가 누락된 오류</strong>로, 수정에는 다소 시간이 소요될 수 있습니다.</p><p> 다만 제보해 주신 내용은 소홀히 하지 않고, 향후 업데이트 과정에서 반영할 수 있도록 관리하겠습니다.</p><p><br></p><p>불편을 드려 죄송하며, 하나님의 말씀을 온전히 들으실 수 있도록 계속 최선을 다하겠습니다.</p><p>항상 주님 안에서 평안하세요, 감사합니다.</p>"
11494,감사합니다  설명해주신대로 해서  다시 시작합니다,"<p>안녕하세요,GOODTV 바이블 애플입니다</p><p>바이블 애플을 이용해주셔서 감사드립니다.</p><p><br></p><p>성도님, 문제가 해결되었다니 다행입니다.</p><p>또 성경 통독을 진행하시는 과정에서 어려움이 있으시면</p><p>언제든 고객 문의에 남겨주세요.</p><p><br></p><p>항상 주님 안에서 평안하시길 기도하겠습니다. 감사합니다.</p>"
11490,"성경통독 녹음시에 오류가 너무 많이 발생합니다. 녹음하고 넘어갔는데 다시 확인해보려고 재생해보면 녹음된 음성이 재생안되고 멈춰있거나, 재생누를시 어플이 강제종료되는 오류가 너무 많이 발생해서 불편합니다. 뭐가 문제일까요?","<p><span style=""color: rgb(29, 28, 29);"">안녕하세요, GOODTV 바이블 애플입니다.</span></p><p><span style=""color: rgb(29, 28, 29);"">바이블 애플을 이용해주셔서 감사드립니다.</span></p><p><br></p><p><span style=""color: rgb(29, 28, 29);"">성도님, 불편을 드려 죄송합니다. 혹시 녹음을 하실 때, </span>녹음된 성경말씀 앞에 초록색 화살표 표시가 되어 있나요?</p><p>해당 초록색 화살표가 있는 말씀 부분만 녹음이 완료되어 재생 가능합니다.</p><p><br></p><p>녹음은 절 별로 한 절 씩 녹음이 가능하며, 녹음을 마친 후에는 저장 후 완료 버튼을 바로 누르셔야 합니다.</p><p>그러고 나서, 공유 하시기 전에 앱 내에서 초록색 화살표 표시가 되어 있는 절을 재생해 보세요.</p><p><br></p><p>현재 내부 테스트 시에는 재생된 녹음 음원 재생에 문제가 없고, 공유 이후에도 재생이 됩니다.</p><p>불편하시겠지만, 위와 같은 방법으로 해 보시고, 만약 그래도 정상적으로 녹음했는데 재생이 되지 않을 경우</p><p>성도님의 핸드폰 기종 및 안드로이드 버전, 그리고 재생이 되지 않는 화면을 캡쳐해서 재문의 해주시면</p><p>내부적으로 확인해보도록 하겠습니다.</p><p><br></p><p><span style=""color: rgb(29, 28, 29);"">현재 녹음 기능과 관련된 불편 사항들을 면밀히 살피고 있습니다.</span></p><p><span style=""color: rgb(29, 28, 29);"">성도님들께서 더욱 편리하게 사용하실 수 있도록 지속적으로 보완해 나가겠습니다.</span></p><p><span style=""color: rgb(29, 28, 29);"">문의 남겨주셔서 감사합니다.</span></p>"
11489,"히브리어 헬라어 한국어 직역성경 역본추가, 성경 역본 동시 보는것 3개까지확장요구,영어찬송가추가/통일찬송가번호 추가 요망.","<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사드립니다.</p><p><br></p><p>현재 성경 및 찬송가의 본문과 음원은 </p><p>성서공회를 비롯한 저작권을 보유하고 있는 기관과 협의 및 계약을 통해 탑재되고 있습니다.</p><p><br></p><p>따라서, 내부적으로도 다양한 번역본을 탑재하기 위해 최선을 다하고 있으나</p><p>그 과정은 다소 시간이 소요될 수 있음을 양해부탁드립니다.</p><p><br></p><p>이외 성경 역본 보기 기능 같은 경우, 현재 모바일 환경에서 성도님들이 사용하실 때 </p><p>최대한 불편이 없는 선에서 개선을 하고 있으므로 </p><p>신중한 토의가 필요합니다.</p><p><br></p><p>성도님의 의견은 잘 전달할 수 있도록 하겠습니다. </p><p>항상 주님 안에서 평안하세요, 감사합니다.  </p><p><br></p>"
11488,이사야 28장 15절 말씀 일부가 잘렸습니다.,"<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사드립니다.</p><p><br></p><p>이용 중 혼란과 불편을 드려 죄송합니다.</p><p>현재 탑재된 본문에는 누락된 단어 및 문장이 없는 것으로 확인했습니다.</p><p><br></p><p>먼저,</p><p><strong>혹시 말씀 구절의 가장 뒷부분 구절이 잘렸을까요?</strong></p><p>예를 들어, 이사야 28장 15절의 ""(우리를) 숨기셨음이라"" 부분이 잘렸는지 확인을 부탁드립니다.</p><p><br></p><p><strong>해당 장 (이사야 28장) 에서 북마크 기능을 사용하신 적이 있나요?</strong></p><p>북마크를 하면 말씀 구절 우측에 북마크 표시가 나타나게 되는데요,</p><p>해당 표시가 화면에 들어가면서 말씀 구절이 잘리는 경우가 있습니다.</p><p>특히, 글자를 크게 키워보실 때 오류가 발생할 수 있음을 말씀드립니다.</p><p><br></p><p>번거로우시겠지만, 글자 크기를 줄여 재접속해보신 뒤에도 말씀 구절이 잘리는지 확인해주세요.</p><p>글자 크기를 조정하시고 말씀이 정상적으로 확인 되면, 원래 보시던 크기대로 키워주시면 됩니다.</p><p><br></p><p><strong>만약, 답변드린 것과 다른 문제라면 화면 사진을 첨부하여 재문의를 부탁드립니다. </strong></p><p>사진을 첨부해주시면 답변 및 문제 해결에 보다 빠르고 정확하게 대응이 가능합니다.</p><p>성도님께서 친절하고 면밀하게 문의를 남겨주셨지만 기기마다 화면의 오류가 동일하지 않다보니,</p><p>내부 테스트 기기에서 정상적으로 노출되면 문제를 파악하기가 어려운 경우가 종종 있습니다.</p><p>번거로우시겠지만 재문의를 해주시면 보다 꼼꼼히 점검하고 명확한 답변을 제공할 수 있도록 하겠습니다.</p><p><br></p><p>말씀묵상에 지장 없으시도록 해당 현상을 지속적으로 모니터링하며 수정하고 있습니다.</p><p>다시한번 불편을 드려 죄송합니다. 빠르게 업데이트하여</p><p>묵상하시는데 어려움 없도록 조치하겠습니다.</p><p><br></p><p>항상 주님 안에서 평안하세요, 감사합니다.</p><p><br></p>"
11487,메뉴의 플레이리스트 사용방법 문의.여러 찬송을 리스트에 놓고 반복해서ㅈ듣는 기능이 되는것인지 궁금합니다^^,"<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사드립니다.</p><p><br></p><p>네, 맞습니다.</p><p>플레이리스트 기능은 원하는 찬송가를 담아 해당 찬송가만 재생이 가능합니다.</p><p>설정 방법은 하단에 글과 사진으로 안내드리겠습니다.</p><p><br></p><p><br></p><p><strong>1) 플레이리스트에 찬송가 담기</strong></p><p>원하는 찬송가를 클릭하고</p><p>해당 찬송가 상단 책갈피 모양 버튼을 클릭 해 주세요.</p><p><br></p><p><br></p><p><strong>2) 플레이리스트 재생하기</strong></p><p>하단 음원 재생 메뉴에서 <strong>간주점프 바로 오른쪽 버튼</strong>을 누르셔서 <strong>[플레이리스트] </strong>로 설정하시면 됩니다.</p><p><br></p><p>간주점프 오른쪽 재생모드 (연속재생/한장재생/반복재생/플레이리스트 중 하나로 보이실 거에요) 버튼을 눌러주세요</p><p>누를 때마다 모드가 순서대로 바뀝니다.</p><ul><li>연속재생 → 한 장 재생 → 반복 재생 → 플레이리스트</li><li>[플레이리스트]가 나올 때까지 버튼을 눌러주세요.</li><li>만약 처음에 <strong>연속재생</strong>으로 보이신다면, 버튼을 3번 누르면 ‘플레이리스트’가 됩니다.</li></ul><p><br></p><p>안내드린대로, [플레이리스트]로 설정하고 재생을 하면 <strong>다음곡부터 플레이리스트에 담아놓은 찬송가로 </strong>쭉 재생이 됩니다.</p><p><br></p><p><img src=""https://m.goodtv.co.kr/admin/cs_images/faq_13_3.jpg"" width=""100%""></p><p>이용 중 불편이 있으시거나, 어려운 점이 있으실 때 고객문의로 남겨주시면</p><p>최선을 다해 답변을 드리겠습니다.</p><p>항상 주님 안에서 평안하세요, 감사합니다.</p>"
11485,바이블 애플 홈에 광고를 낼 수 있나요? 책을 출반했는데 책 홍보를 하고 싶습니다.,"<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사드립니다.</p><p><br></p><p>자세한 사항은 관련 부서에서 연락드릴 수 있도록 하겠습니다.</p><p><br></p><p>항상 주님 안에서 평안하세요, 감사합니다.</p><p><br></p>"
11482,저희 아버지께서 눈이 안좋아 폰트 크기를 크게하셔서 읽으시는데요. 단어를 검색할 때 검색된 구절 목록이 뜨게되는데 그 목록들의 폰트 크기가 작아 애를 먹고 계십니다. 혹시 방법이 있을까요? 안드로이드 버전입니다.,"<p>안녕하세요, GOODTV 바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사드립니다.</p><p><br></p><p>해당 부분 내부적으로 검토해 보도록하겠습니다.</p><p>항상 주님 안에서 평안하세요, 감사합니다.</p><p><br></p>"
11481,혹시 맥체인 성경읽기는 없는지요??,"<p>안녕하세요,  GOODTV  바이블 애플입니다.</p><p>바이블 애플을 이용해주셔서 감사드립니다.</p><p><br></p><p>현재 앱 내 맥체인 성경 통독 계획 기능은 제공하고 있지 않습니다.</p><p><br></p><p>다만 지난 주, 성경 통독 설문 조사를 시작으로 </p><p>현재 통독 기능 개선을 위한 작업을 진행중에 있습니다.</p><p>구체적인 진행상황을 말씀드릴 수 없지만 </p><p>맥체인 성경읽기에 대한 탑재 의견을 내부에 전달할 수 있도록 하겠습니다.</p><p><br></p><p>항상 주님 안에서 평안하세요, 감사합니다.</p>"
